0	1	mikroCPIC1618.exe -MSF -DBG -pP16F877A -DL -O11111114 -fo8 -N"E:\Drivers\Project.mcppi" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"E:\Drivers\" -SP"E:\Drivers\P\APP\" -SP"E:\Drivers\P\MCAL\ADC\" -SP"E:\Drivers\P\MCAL\EXTI\" -SP"E:\Drivers\P\MCAL\GPIO\" -SP"E:\Drivers\P\MCAL\I2C\" -SP"E:\Drivers\P\MCAL\UART\" -SP"E:\Drivers\P\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" "adc_test.c" "exti_test.c" "gpio_test.c" "i2c_test.c" "pwm_test.c" "spi_test.c" "timer0_test.c" "uart_test.c" "ADC_program.c" "EXTI_program.c" "GPIO_program.c" "I2C_program.c" "UART_program.c" "main.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl"	 
hint: 0	1139	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	122	Compilation Started	adc_test.h
diagnostics: 22	123	Compiled Successfully	adc_test.c
hint: 7	1164	Variable 'value' has been eliminated by optimizer	adc_test.c
diagnostics: 0	122	Compilation Started	exti_test.h
diagnostics: 17	123	Compiled Successfully	exti_test.c
diagnostics: 0	122	Compilation Started	gpio_test.h
diagnostics: 16	123	Compiled Successfully	gpio_test.c
diagnostics: 0	122	Compilation Started	i2c_interface.h
diagnostics: 12	123	Compiled Successfully	i2c_test.c
diagnostics: 0	122	Compilation Started	pwm_test.h
diagnostics: 20	123	Compiled Successfully	pwm_test.c
diagnostics: 0	122	Compilation Started	spi_test.h
diagnostics: 17	123	Compiled Successfully	spi_test.c
hint: 7	1164	Variable 'received' has been eliminated by optimizer	spi_test.c
diagnostics: 0	122	Compilation Started	timer_test.h
diagnostics: 18	123	Compiled Successfully	timer0_test.c
diagnostics: 0	122	Compilation Started	uart_test.h
diagnostics: 14	123	Compiled Successfully	uart_test.c
hint: 11	1164	Variable 'received' has been eliminated by optimizer	uart_test.c
diagnostics: 0	122	Compilation Started	adc_interface.h
diagnostics: 34	123	Compiled Successfully	ADC_program.c
diagnostics: 0	122	Compilation Started	exti_interface.h
diagnostics: 30	123	Compiled Successfully	EXTI_program.c
diagnostics: 0	122	Compilation Started	gpio_interface.h
diagnostics: 61	123	Compiled Successfully	GPIO_program.c
diagnostics: 0	122	Compilation Started	i2c_interface.h
diagnostics: 54	123	Compiled Successfully	I2C_program.c
diagnostics: 0	122	Compilation Started	uart_interface.h
diagnostics: 44	123	Compiled Successfully	UART_program.c
diagnostics: 0	122	Compilation Started	gpio_test.h
diagnostics: 60	123	Compiled Successfully	main.c
diagnostics: 0	127	All files Compiled in 1328 ms	 
hint: 0	1144	Used RAM (bytes): 9 (3%)  Free RAM (bytes): 343 (97%)	Used RAM (bytes): 9 (3%)  Free RAM (bytes): 343 (97%)
hint: 0	1144	Used ROM (program words): 304 (4%)  Free ROM (program words): 7888 (96%)	Used ROM (program words): 304 (4%)  Free ROM (program words): 7888 (96%)
diagnostics: 0	125	Project Linked Successfully	Project.mcppi
diagnostics: 0	128	Linked in 47 ms	 
diagnostics: 0	129	Project 'Project.mcppi' completed: 1531 ms	 
diagnostics: 0	103	Finished successfully: 27 Apr 2026, 12:36:10	Project.mcppi
